Date,Open,High,Low,Close,Volume,Adj Close
2014-07-18,1158.24,1158.24,1158.24,1158.24,000,1158.24
2014-07-17,1190.27,1190.27,1190.27,1190.27,000,1190.27
2014-07-16,1190.06,1190.06,1190.06,1190.06,000,1190.06
2014-07-15,1180.92,1180.92,1180.92,1180.92,000,1180.92
2014-07-14,1178.38,1178.38,1178.38,1178.38,000,1178.38
2014-07-11,1154.89,1154.89,1154.89,1154.89,000,1154.89
2014-07-10,1151.48,1151.48,1151.48,1151.48,000,1151.48
2014-07-09,1173.01,1173.01,1173.01,1173.01,000,1173.01
2014-07-08,1193.30,1193.30,1193.30,1193.30,000,1193.30
2014-07-07,1242.82,1242.82,1242.82,1242.82,000,1242.82
2014-07-04,1243.80,1243.80,1243.80,1243.80,000,1243.80
2014-07-03,1254.21,1254.21,1254.21,1254.21,000,1254.21
2014-07-02,1247.92,1247.92,1247.92,1247.92,000,1247.92
2014-07-01,1228.85,1228.85,1228.85,1228.85,000,1228.85
2014-06-30,1214.31,1214.31,1214.31,1214.31,000,1214.31
2014-06-27,1209.97,1209.97,1209.97,1209.97,000,1209.97
2014-06-26,1226.45,1226.45,1226.45,1226.45,000,1226.45
2014-06-25,1226.19,1226.19,1226.19,1226.19,000,1226.19
2014-06-24,1243.72,1243.72,1243.72,1243.72,000,1243.72
2014-06-23,1270.38,1270.38,1270.38,1270.38,000,1270.38
2014-06-20,1305.93,1305.93,1305.93,1305.93,000,1305.93
2014-06-19,1286.99,1286.99,1286.99,1286.99,000,1286.99
2014-06-18,1270.34,1270.34,1270.34,1270.34,000,1270.34
2014-06-17,1258.48,1258.48,1258.48,1258.48,000,1258.48
2014-06-16,1262.31,1262.31,1262.31,1262.31,000,1262.31
2014-06-13,1270.69,1270.69,1270.69,1270.69,000,1270.69
2014-06-12,1307.08,1307.08,1307.08,1307.08,000,1307.08
2014-06-11,1307.26,1307.26,1307.26,1307.26,000,1307.26
