AthensIndex,BrusselsStockExch,GermanyDAX,HangSeng,JakartaIndex,LondonFTSE,MexicoIndex,NewZealandSE,OsakaStockEx,SaoPaoloIndex,Sensex,SeoulComposite,ShanghaiComposite,SwissMarket,TaiwanWeighted,TelAvivSE,TorontoIndex,ViennaIndex
797.52,3624.27002,11099.349609,26282.320312,26282.320312,6630.5,45175.578125,5841.470215,20522.5,53106.0,27945.800781,2107.330078,3912.77,8961.5,9379.240234,1430.540039,14638.0,2437.629883
797.52,3574.699951,10944.969727,26250.029297,26250.029297,6521.0,45053.699219,5726.959961,20235.730469,53081.0,27780.830078,2074.199951,4277.22,8780.900391,9323.019531,1420.26001,14553.299805,2411.77002
797.52,3621.090088,11083.200195,25966.980469,25966.980469,6620.5,44710.351562,5705.810059,20109.949219,53014.0,27645.150391,2060.48999,4053.03,8868.400391,9236.099609,1414.76001,14490.200195,2427.199951
781.68,3711.310059,11473.129883,27145.75,27145.75,6807.799805,45377.121094,5733.290039,20771.400391,53176.0,27895.970703,2085.060059,4527.78,9045.299805,9476.339844,1444.300049,14897.5,2499.469971
780.9,3719.879883,11471.259766,27404.970703,27404.970703,6844.799805,45424.941406,5775.490234,20868.029297,53843.0,27729.669922,2085.530029,4690.15,9081.799805,9397.30957,1446.880005,14947.5,2512.830078
794.98,3744.679932,11542.540039,27333.460938,27333.460938,6834.899902,45454.148438,5772.129883,20809.419922,53772.0,27804.369141,2081.199951,4576.49,9137.299805,9391.139648,1454.099976,14904.900391,2519.050049
683.43,3584.110107,11100.299805,26694.660156,26694.660156,6707.899902,45120.789062,5749.709961,19990.820312,54239.0,27115.830078,2041.880005,4785.36,8880.299805,9218.370117,1456.969971,14770.599609,2443.399902
680.88,3567.51001,10978.009766,26753.789062,26753.789062,6680.600098,44792.039062,5779.259766,20219.269531,53249.0,26832.660156,2034.859985,4967.9,8906.700195,9189.830078,1456.73999,14733.0,2428.719971
703.05,3591.25,11044.009766,26566.699219,26566.699219,6710.100098,44722.28125,5813.930176,20257.939453,53702.0,26686.509766,2028.719971,4887.43,8965.400391,9212.780273,1451.52002,14753.099609,2451.699951
738.25,3573.189941,10984.969727,26861.810547,26861.810547,6710.5,44395.761719,5819.970215,20387.789062,53138.0,26586.550781,2042.319946,5062.99,8924.700195,9259.480469,1440.089966,14756.099609,2434.300049
823.16,3672.070068,11332.780273,26907.849609,26907.849609,6846.700195,44624.738281,5858.410156,20382.970703,53689.0,26370.980469,2056.610107,5121.59,9146.299805,9302.490234,1457.469971,14830.900391,2527.340088
761.05,3663.76001,11265.389648,26687.640625,26687.640625,6830.299805,44578.28125,5803.870117,20046.359375,53876.0,26840.5,2051.320068,5106.04,9102.700195,9298.5,1448.089966,14889.0,2546.409912
769.37,3609.879883,11001.290039,26989.519531,26989.519531,6753.799805,44519.210938,5862.109863,20096.300781,52816.0,26481.25,2064.030029,5113.53,8980.200195,9191.870117,1454.77002,14817.700195,2502.800049
764.63,3621.889893,11064.919922,27316.279297,27316.279297,6790.0,44544.050781,5885.810059,20457.189453,52810.0,26523.089844,2065.189941,5131.88,9060.5,9368.429688,1469.52002,14743.299805,2500.97998
838.22,3721.76001,11419.620117,27657.470703,27657.470703,6950.5,44732.71875,5858.709961,20473.509766,53523.0,26837.199219,2063.159912,4909.98,9253.299805,9556.519531,1472.079956,15154.700195,2612.350098
804.96,3689.590088,11328.799805,27466.720703,27466.720703,6928.299805,44931.480469,5863.740234,20543.189453,54236.0,27188.380859,2078.639893,4910.53,9204.099609,9614.259766,1462.839966,15104.700195,2578.590088
837.41,3753.620117,11677.570312,27454.310547,27454.310547,7040.899902,44807.308594,5777.640137,20551.460938,53976.0,27506.710938,2110.889893,4620.27,9394.299805,9712.839844,1454.51001,15107.0,2576.429932
851.81,3761.090088,11771.129883,28081.210938,28081.210938,7033.299805,44682.589844,5757.939941,20472.580078,54236.0,27564.660156,2107.5,4941.71,9396.200195,9693.540039,1460.73999,15110.5,2614.629883
822.61,3714.719971,11625.129883,28249.859375,28249.859375,6949.0,44401.398438,5795.859863,20437.480469,53630.0,27531.410156,2143.5,4910.9,9272.700195,9669.410156,1465.089966,15050.799805,2596.790039
845.73,3762.080078,11864.589844,27523.720703,27523.720703,7013.5,45097.390625,5769.27002,20202.869141,55112.0,27809.349609,2122.810059,4529.42,9365.400391,9578.55957,1482.780029,15203.599609,2639.919922
840.4,3752.090088,11848.469727,27585.050781,27585.050781,7007.299805,45283.46875,5755.790039,20196.560547,54901.0,27837.210938,2139.540039,4446.29,9319.900391,9685.30957,1476.25,15072.799805,2652.399902
846.43,3741.679932,11853.330078,27693.539062,27693.539062,6995.100098,45311.75,5757.160156,20026.380859,55499.0,27645.529297,2120.850098,4417.55,9295.599609,9716.769531,1477.670044,15121.0,2642.560059
828.87,3657.909912,11351.459961,27249.279297,27249.279297,6949.600098,45038.140625,5751.759766,19764.720703,56372.0,27251.099609,2114.159912,4375.76,9050.700195,9724.110352,1438.209961,14980.700195,2659.570068
829.1,3670.560059,11472.410156,27407.179688,27407.179688,6933.799805,44950.488281,5746.22998,19624.839844,56792.0,26877.480469,2096.77002,4401.22,9045.0,9680.730469,1425.22998,15043.200195,2633.030029
817.92,3687.189941,11673.349609,27718.199219,27718.199219,7029.899902,45179.96875,5747.950195,19620.910156,57197.0,27507.300781,2097.379883,4333.58,9117.299805,9663.719727,1435.050049,15152.599609,2653.800049
841.54,3585.26001,11407.969727,27289.970703,27289.970703,6887.0,44768.800781,5729.350098,19291.990234,56921.0,26599.109375,2091.0,4112.21,8873.599609,9704.110352,1420.619995,15088.799805,2615.330078
816.94,3589.0,11350.150391,27640.910156,27640.910156,6933.700195,44853.261719,5765.27002,19531.630859,57103.0,26717.369141,2104.580078,4229.27,8888.900391,9818.200195,1415.439941,15023.900391,2571.26001
822.88,3674.179932,11454.379883,28133.0,28133.0,6960.600098,44582.390625,5791.339844,19520.009766,56229.0,27011.310547,2127.169922,4441.65,9077.099609,9820.049805,1430.609985,15224.5,2586.330078
806.01,3802.25,11811.660156,28442.75,28442.75,7030.5,45338.359375,5769.649902,20058.949219,55812.0,27396.380859,2147.669922,4476.21,9259.799805,9956.830078,1440.439941,15346.099609,2646.669922
794.84,3844.26001,12039.160156,28433.589844,28433.589844,7104.0,45512.378906,5765.359863,19983.320312,55535.0,27176.990234,2157.540039,4527.4,9349.200195,9973.120117,1466.310059,15344.099609,2661.699951
736.6,3786.280029,11723.580078,27827.699219,27827.699219,7053.700195,45418.828125,5757.910156,20187.650391,55685.0,27735.019531,2173.409912,4414.51,9338.299805,9797.490234,1471.290039,15392.400391,2613.179932
719.43,3794.290039,11867.370117,27933.849609,27933.849609,7028.200195,45232.039062,5793.609863,20133.900391,54617.0,27890.130859,2143.889893,4398.49,9358.099609,9613.0,1471.290039,15304.799805,2617.290039
704.74,3828.360107,11939.580078,27850.490234,27850.490234,7062.899902,45296.910156,5817.52002,19909.089844,53761.0,27676.039062,2144.790039,4293.62,9299.400391,9533.980469,1470.859985,15346.400391,2632.26001
728.98,3826.280029,11891.910156,27094.929688,27094.929688,7052.100098,45077.808594,5824.279785,19634.490234,53761.0,27886.210938,2146.709961,4217.08,9243.700195,9552.849609,1467.73999,15412.599609,2608.300049
752.37,3859.429932,11998.860352,27739.710938,27739.710938,7060.5,45480.230469,5881.759766,19885.769531,54674.0,28666.039062,2139.899902,4194.82,9398.599609,9656.870117,1477.910034,15386.799805,2634.98999
743.95,3895.02002,12231.339844,27618.820312,27618.820312,7096.799805,45262.941406,5856.080078,19869.759766,54919.0,28799.689453,2119.959961,4084.16,9428.599609,9540.05957,1480.349976,15450.900391,2650.97998
758.63,3888.860107,12227.599609,27561.490234,27561.490234,7075.299805,45004.519531,5882.109863,19908.679688,53982.0,29044.439453,2111.719971,4135.56,9415.599609,9642.219727,1473.52002,15389.299805,2628.139893
776.03,3902.73999,12338.730469,28016.339844,28016.339844,7064.299805,44994.558594,5854.319824,19905.460938,54240.0,29044.439453,2098.919922,4121.71,9430.299805,9666.519531,1480.209961,15383.599609,2646.709961
776.03,3871.659912,12166.44043,26944.390625,26944.390625,7015.399902,44913.269531,5847.169922,19937.720703,53803.0,28885.210938,2058.870117,3957.53,9393.400391,9568.040039,1443.560059,15326.299805,2614.580078
767.92,3831.090088,12035.860352,26236.859375,26236.859375,6937.399902,44980.558594,5859.720215,19789.810547,53661.0,28707.75,2059.26001,3994.81,9247.799805,9571.969727,1443.47998,15213.599609,2590.419922
777.47,3839.110107,12123.519531,25275.640625,25275.640625,6961.799805,44987.871094,5855.439941,19640.539062,53729.0,28516.589844,2047.030029,3961.38,9260.799805,9641.900391,1453.540039,15188.799805,2581.939941
771.32,3773.310059,11967.389648,25275.640625,25275.640625,6833.5,44202.941406,5831.399902,19312.789062,53123.0,28260.140625,2029.069946,3825.78,9130.599609,9600.320312,1430.410034,15026.599609,2545.689941
765.37,3742.620117,12001.379883,25082.75,25082.75,6809.5,44202.941406,5835.580078,19034.839844,52322.0,28260.140625,2028.449951,3810.29,9137.299805,9507.660156,1419.560059,14942.599609,2541.550049
775.46,3725.820068,11966.169922,24900.890625,24900.890625,6773.0,43724.78125,5833.990234,19206.990234,51150.0,27957.490234,2041.030029,3747.9,9129.0,9586.44043,1416.160034,14902.400391,2509.820068
772.71,3762.899902,12086.009766,24855.119141,24855.119141,6891.399902,43922.828125,5821.290039,19411.400391,51243.0,27975.859375,2030.040039,3786.57,9202.200195,9521.870117,1413.170044,14908.400391,2516.129883
764.88,3703.129883,11843.679688,24497.080078,24497.080078,6895.299805,43229.160156,5833.169922,19471.119141,50580.0,27457.580078,2022.560059,3682.09,9082.5,9619.120117,1397.77002,14869.799805,2481.629883
794.57,3745.129883,11865.320312,24528.230469,24528.230469,6991.0,43630.960938,5857.779785,19746.199219,51858.0,28111.830078,2042.810059,3660.73,9188.299805,9667.830078,1411.98999,14929.400391,2523.399902
794.57,3765.409912,12005.69043,24399.599609,24399.599609,7019.700195,44051.210938,5870.540039,19713.449219,51506.0,28161.720703,2041.369995,3691.41,9292.700195,9731.660156,1406.77002,15081.299805,2537.75
766.51,3751.580078,11895.839844,24494.509766,24494.509766,7037.700195,43952.710938,5875.22998,19560.220703,51908.0,28192.019531,2036.589966,3687.73,9366.200195,9758.089844,1411.540039,14957.200195,2532.409912
723.66,3734.350098,11899.400391,24468.890625,24468.890625,6962.299805,44118.171875,5859.399902,19476.560547,50954.0,28469.669922,2037.890015,3582.27,9328.5,9736.730469,1403.530029,14873.900391,2510.189941
737.96,3727.919922,11922.769531,24120.080078,24120.080078,6945.200195,44360.871094,5846.660156,19544.480469,51526.0,28622.119141,2028.449951,3577.3,9256.200195,9653.429688,1389.589966,14962.200195,2481.810059
769.77,3735.879883,11980.849609,23901.490234,23901.490234,6837.600098,43761.359375,5905.410156,19437.0,50285.0,28736.380859,2029.910034,3502.85,9198.5,9539.44043,1375.160034,14898.5,2500.51001
763.09,3770.47998,12167.719727,23949.550781,23949.550781,6804.100098,44002.289062,5911.399902,19246.060547,48848.0,28437.710938,1987.329956,3449.3,9237.099609,9512.910156,1375.160034,14862.799805,2523.530029
794.07,3716.179932,11799.389648,23797.960938,23797.960938,6761.100098,44055.890625,5886.779785,18991.109375,48880.0,28930.410156,1970.589966,3349.32,9119.799805,9596.0,1379.339966,14770.700195,2506.75
797.3,3719.780029,11805.990234,23717.970703,23717.970703,6721.5,43227.199219,5861.97998,18723.519531,48906.0,28659.169922,1980.829956,3290.9,9106.200195,9523.179688,1374.01001,14739.200195,2505.959961
817.39,3669.459961,11500.379883,23896.980469,23896.980469,6702.799805,42972.148438,5887.75,18665.109375,48293.0,28709.869141,1984.77002,3286.07,9023.700195,9536.530273,1364.420044,14641.799805,2480.540039
814.7,3713.649902,11582.110352,24123.050781,24123.050781,6876.5,43251.398438,5896.959961,18790.550781,49181.0,28844.779297,1992.819946,3302.41,9046.900391,9562.980469,1369.530029,14854.5,2537.52002
